2020-05-17 23:51:52 ERROR  admin:ServerChat.java:34 - Address already in use: JVM_Bind
2020-05-17 23:52:12 INFO   admin:ServerChat.java:25 - Server started
2020-05-18 00:48:01 INFO   admin:ServerChat.java:28 - Server started
2020-05-18 00:48:19 INFO   admin:ServerChat.java:28 - Server started
2020-05-18 00:55:19 INFO   admin:ServerChat.java:30 - Server started
2020-05-18 01:07:35 INFO   admin:ServerChat.java:32 - Server started
2020-05-18 01:30:38 INFO   admin:ServerChat.java:32 - Server started
2020-05-18 01:39:38 INFO   admin:ServerChat.java:32 - Server started
2020-05-18 01:41:34 INFO   admin:ServerChat.java:32 - Server started
2020-05-18 01:42:02 INFO   admin:ServerChat.java:32 - Server started
2020-05-18 01:45:51 INFO   admin:ServerChat.java:32 - Server started
